model,nbins,eweight,fweight,label,group,weight_type,train_or_test,row_type,ncount,mae,rmse,rsq
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk6,weighted,training,force,372.0,0.000101979,0.000148795,0.846388
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk6,weighted,training,stress,186.0,1.97071e-08,2.70185e-08,0.997423
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk7,unweighted,training,energy,31.0,0.0563589,0.0849361,0.998774
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk7,unweighted,training,force,384.0,6.52306e-05,0.000117949,0.863799
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk7,unweighted,training,stress,186.0,33225.0,93334.0,0.983692
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk7,weighted,training,energy,31.0,0.0563589,0.0849361,0.998774
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk7,weighted,training,force,384.0,6.52306e-05,0.000117949,0.863799
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk7,weighted,training,stress,186.0,3.3225e-08,9.3334e-08,0.983692
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk8,unweighted,training,energy,31.0,0.428481,0.723599,0.984035
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk8,unweighted,training,force,300.0,6.49543e-06,1.89605e-05,0.965251
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk8,unweighted,training,stress,186.0,48858.3,100125.0,0.989064
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk8,weighted,training,energy,31.0,0.428481,0.723599,0.984035
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk8,weighted,training,force,300.0,6.49543e-06,1.89605e-05,0.965251
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk8,weighted,training,stress,186.0,4.88583e-08,1.00125e-07,0.989064
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk9,unweighted,training,energy,31.0,0.0589162,0.0589221,-2.37684
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk9,unweighted,training,force,186.0,2.72639e-05,4.0277e-05,0.966691
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk9,unweighted,training,stress,186.0,9185.33,12781.2,0.999495
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk9,weighted,training,energy,31.0,0.0589162,0.0589221,-2.37684
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk9,weighted,training,force,186.0,2.72639e-05,4.0277e-05,0.966691
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk9,weighted,training,stress,186.0,9.18533e-09,1.27812e-08,0.999495
TaLinear,31,100.0,1.0,TaLinear_e100f1,*all,unweighted,training,energy,363.0,0.00778251,0.0142412,0.999992
TaLinear,31,100.0,1.0,TaLinear_e100f1,*all,unweighted,training,force,12672.0,0.154358,0.306568,0.947424
TaLinear,31,100.0,1.0,TaLinear_e100f1,*all,unweighted,training,stress,2178.0,11281.5,49581.4,0.998981
TaLinear,31,100.0,1.0,TaLinear_e100f1,*all,weighted,training,energy,363.0,0.778251,1.42412,0.999992
TaLinear,31,100.0,1.0,TaLinear_e100f1,*all,weighted,training,force,12672.0,0.154358,0.306568,0.947424
TaLinear,31,100.0,1.0,TaLinear_e100f1,*all,weighted,training,stress,2178.0,1.12815e-08,4.95814e-08,0.998981
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk1,unweighted,training,energy,31.0,0.0144283,0.0180465,0.9958
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk1,unweighted,training,force,5526.0,0.262441,0.398632,0.902452
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk1,unweighted,training,stress,186.0,9140.1,17808.5,0.998909
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk1,weighted,training,energy,31.0,1.44283,1.80465,0.9958
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk1,weighted,training,force,5526.0,0.262441,0.398632,0.902452
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk1,weighted,training,stress,186.0,9.1401e-09,1.78085e-08,0.998909
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk10,unweighted,training,energy,31.0,0.00111171,0.00111878,0.999596
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk10,unweighted,training,force,186.0,0.000118041,0.000154344,0.594991
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk10,unweighted,training,stress,186.0,7375.27,9535.34,0.999722
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk10,weighted,training,energy,31.0,0.111171,0.111878,0.999596
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk10,weighted,training,force,186.0,0.000118041,0.000154344,0.594991
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk10,weighted,training,stress,186.0,7.37527e-09,9.53534e-09,0.999722
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk11,unweighted,training,energy,31.0,0.0043605,0.0103831,0.999976
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk11,unweighted,training,force,192.0,9.27686e-05,0.000136871,0.601584
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk11,unweighted,training,stress,186.0,6880.12,9694.7,0.999721
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk11,weighted,training,energy,31.0,0.43605,1.03831,0.999976
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk11,weighted,training,force,192.0,9.27686e-05,0.000136871,0.601584
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk11,weighted,training,stress,186.0,6.88012e-09,9.6947e-09,0.999721
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk12,unweighted,training,energy,22.0,0.0261141,0.0320938,0.999994
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk12,unweighted,training,force,198.0,6.12305e-15,9.73747e-15,-0.0564268
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk12,unweighted,training,stress,132.0,67001.1,195219.0,0.998602
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk12,weighted,training,energy,22.0,2.61141,3.20938,0.999994
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk12,weighted,training,force,198.0,6.12305e-15,9.73747e-15,-0.0564268
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk12,weighted,training,stress,132.0,6.70011e-08,1.95219e-07,0.998602
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk2,unweighted,training,energy,31.0,0.0144711,0.0166822,0.969084
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk2,unweighted,training,force,2760.0,0.147943,0.321824,0.971547
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk2,unweighted,training,stress,186.0,4395.1,6604.19,0.999458
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk2,weighted,training,energy,31.0,1.44711,1.66822,0.969084
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk2,weighted,training,force,2760.0,0.147943,0.321824,0.971547
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk2,weighted,training,stress,186.0,4.3951e-09,6.60419e-09,0.999458
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk3,unweighted,training,energy,31.0,0.0121366,0.0153385,0.999894
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk3,unweighted,training,force,1656.0,0.0587149,0.127648,0.992512
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk3,unweighted,training,stress,186.0,5036.67,9122.66,0.999556
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk3,weighted,training,energy,31.0,1.21366,1.53385,0.999894
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk3,weighted,training,force,1656.0,0.0587149,0.127648,0.992512
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk3,weighted,training,stress,186.0,5.03667e-09,9.12266e-09,0.999556
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk4,unweighted,training,energy,31.0,0.0104059,0.0205305,0.999979
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk4,unweighted,training,force,540.0,5.60872e-05,0.000127118,0.633373
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk4,unweighted,training,stress,186.0,10852.8,18369.6,0.999474
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk4,weighted,training,energy,31.0,1.04059,2.05305,0.999979
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk4,weighted,training,force,540.0,5.60872e-05,0.000127118,0.633373
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk4,weighted,training,stress,186.0,1.08528e-08,1.83696e-08,0.999474
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk5,unweighted,training,energy,31.0,0.000278386,0.00034774,0.999345
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk5,unweighted,training,force,372.0,0.000111365,0.00016839,0.713703
TaLinear,31,100.0,1.0,TaLinear_e100f1,talinear_chunk5,unweighted,training,stress,186.0,9161.08,12312.7,0.999459
